Price,Zipcode
415000,95301
490000,95301
439900,95301
365000,95301
340000,95301
1295000,95301
1199000,95301
392000,95301
400000,95301
325000,95301
550000,95301
765000,95301
499999,95301
459000,95301
350000,95301
679000,95301
2975000,95301
775000,95333
7000000,95333
469000,95340
440000,95340
414900,95340
449000,95340
362000,95340
429000,95340
299000,95340
359000,95340
367000,95340
599000,95340
315000,95340
369900,95340
389900,95340
485000,95340
339999,95340
358888,95340
349000,95340
350000,95340
340000,95340
345000,95340
1099999,95340
309000,95340
368000,95340
6000000,95340
539990,95340
460000,95340
450000,95340
395000,95340
365000,95340
99900,95341
129900,95341
135000,95341
235000,95341
289900,95341
290000,95341
298999,95341
339999,95341
350000,95341
364400,95341
365000,95341
375000,95341
378400,95341
380000,95341
384900,95341
385000,95341
389322,95341
392400,95341
393946,95341
395000,95341
395126,95341
411842,95341
435000,95341
550000,95341
472690,95341
469015,95341
468450,95341
467515,95341
466015,95341
465890,95341
460810,95341
448055,95341
439000,95341
315000,95348
329800,95348
334900,95348
359000,95348
365000,95348
365888,95348
380000,95348
405000,95348
409000,95348
419999,95348
427000,95348
430000,95348
439000,95348
447990,95348
448301,95348
449000,95348
449990,95348
451990,95348
452982,95348
469000,95348
470000,95348
475735,95348
479900,95348
481665,95348
559000,95348
507000,95348
504832,95348
499999,95348
495900,95348
489900,95348
485000,95348
299999,95365
327000,95365
354999,95365
1475000,95365
330000,95388
395000,95388
399901,95388
420000,95388
549000,95388
1150000,95388
1400000,95388
2400000,95388
