95301,95333,95340,95341,95343,95348,95365,95369,95388
490000.0,239900.0,362000.0,289900.0,749000.0,365888.0,354999.0,665000.0,325000.0
439900.0,300000.0,349000.0,550000.0,469000.0,279000.0,327000.0,270000.0,395000.0
535000.0,775000.0,369900.0,339999.0,449000.0,365000.0,299999.0,2300000.0,229999.0
289900.0,900000.0,649999.0,439000.0,475000.0,479999.0,1475000.0,270000.0,399901.0
425000.0,1250000.0,315000.0,99900.0,395000.0,490000.0,150000.0,599950.0,209000.0
749900.0,3100000.0,359000.0,309995.0,533950.0,499000.0,1600000.0,3000000.0,549000.0
899000.0,1190000.0,367000.0,895000.0,659000.0,419999.0,13250000.0,270000.0,330000.0
435000.0,1175000.0,299000.0,385000.0,559900.0,725000.0,1600000.0,,420000.0
415000.0,450000.0,749000.0,395000.0,,489900.0,13250000.0,,2400000.0
